    orderNumber                                                                                                                                                                                       comments
0         10101                                                                                                                                                                         Check on availability.
1         10107                                                                                                                         Difficult to negotiate with customer. We need more marketing materials
2         10109                                                                                                                                 Customer requested that FedEx Ground is used for this shipping
3         10112                                                                                                 Customer requested that ad materials (such as posters, pamphlets) be included in the shippment
4         10118                                                                                                            Customer has worked with some of our vendors in the past and is aware of their MSRP
5         10124                                         Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch
6         10127                                                                                                      Customer requested special shippment. The instructions were passed along to the warehouse
7         10136                                                                                                                                           Customer is interested in buying more Ferrari models
8         10143                                                                                                                                  Can we deliver the new Ford Mustang models by end-of-quarter?
9         10148                                                                                                                                    They want to reevaluate their terms agreement with Finance.
10        10150                                                                                                                                    They want to reevaluate their terms agreement with Finance.
11        10164                                                                              This order was disputed, but resolved on 11/1/2003; Customer doesn't like the colors and precision of the models.
12        10165                                                                            This order was on hold because customers's credit limit had been exceeded. Order will ship when payment is received
13        10167  Customer called to cancel. The warehouse was notified in time and the order didn't ship. They have a new VP of Sales and are shifting their sales model. Our VP of Sales should contact them.
14        10173                                  Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches
15        10178                                                                                                                                                 Custom shipping instructions sent to warehouse
16        10179    Customer cancelled due to urgent budgeting issues. Must be cautious when dealing with them in the future. Since order shipped already we must discuss who would cover the shipping charges.
17        10183                                                                                    We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.
18        10186                                                                                                                             They want to reevaluate their terms agreement with the VP of Sales
19        10189                                                                                                                                    They want to reevaluate their terms agreement with Finance.
20        10191                                                                                               We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.
21        10197                                                                                                                              Customer inquired about remote controlled models and gold models.
22        10205                                                                                                                                       I need all the information I can get on our competitors.
23        10206                                                                                                                                                                   Can we renegotiate this one?
24        10207                                                                                                                                                                         Check on availability.
25        10213                                                                                                                         Difficult to negotiate with customer. We need more marketing materials
26        10215                                                                                                                                 Customer requested that FedEx Ground is used for this shipping
27        10218                                                                                                 Customer requested that ad materials (such as posters, pamphlets) be included in the shippment
28        10224                                                                                                            Customer has worked with some of our vendors in the past and is aware of their MSRP
29        10230                                         Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch
30        10233                                                                                                      Customer requested special shippment. The instructions were passed along to the warehouse
31        10242                                                                                                                                           Customer is interested in buying more Ferrari models
32        10248                                                                                                                  Order was mistakenly placed. The warehouse noticed the lack of documentation.
33        10249                                                                                                                                  Can we deliver the new Ford Mustang models by end-of-quarter?
34        10253        Customer disputed the order and we agreed to cancel it. We must be more cautions with this customer going forward, since they are very hard to please. We must cover the shipping fees.
35        10254                                                                                                                                          Customer requested that DHL is used for this shipping
36        10260                                                                                 Customer heard complaints from their customers and called to cancel this order. Will notify the Sales Manager.
37        10262                                                                                                 This customer found a better offer from one of our competitors. Will call back to renegotiate.
38        10264                                                                                                                                  Customer will send a truck to our local warehouse on 7/1/2004
39        10270                                                                                                                                                                   Can we renegotiate this one?
40        10279                                  Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches
41        10284                                                                                                                                                 Custom shipping instructions sent to warehouse
42        10289                                                                                    We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.
43        10292                                                                                                                                    They want to reevaluate their terms agreement with Finance.
44        10295                                                                                                                                    They want to reevaluate their terms agreement with Finance.
45        10297                                                                                               We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.
46        10303                                                                                                                              Customer inquired about remote controlled models and gold models.
47        10305                                                                                                                                                                         Check on availability.
48        10308                                                                                                                                 Customer requested that FedEx Ground is used for this shipping
49        10311                                                                                                                         Difficult to negotiate with customer. We need more marketing materials
50        10313                                                                                                                                 Customer requested that FedEx Ground is used for this shipping
51        10316                                                                                                 Customer requested that ad materials (such as posters, pamphlets) be included in the shippment
52        10319                                                                                                                                          Customer requested that DHL is used for this shipping
53        10322                                                                                                            Customer has worked with some of our vendors in the past and is aware of their MSRP
54        10327                                           Order was disputed and resolved on 12/1/04. The Sales Manager was involved. Customer claims the scales of the models don't match what was discussed.
55        10328                                         Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch
56        10331                                                                                                      Customer requested special shippment. The instructions were passed along to the warehouse
57        10334                                                                       The outstaniding balance for this customer exceeds their credit limit. Order will be shipped when a payment is received.
58        10336                                                                                                                                          Customer requested that DHL is used for this shipping
59        10340                                                                                                                                           Customer is interested in buying more Ferrari models
