    business_id                                                                description
0            10                                    Insufficient hot water or running water
1            10                           Unapproved or unmaintained equipment or utensils
2            10                         Inadequate and inaccessible handwashing facilities
3            10                           Improper storage of equipment utensils or linens
4            10                               Unclean or degraded floors walls or ceilings
5            10                                               High risk vermin infestation
6            10                                         High risk food holding temperature
7            10                           Unapproved or unmaintained equipment or utensils
8            10                                         High risk food holding temperature
9            10                               No thermometers or uncalibrated thermometers
10           24                           Improper storage of equipment utensils or linens
11           24                             Permit license or inspection report not posted
12           24                         Inadequate and inaccessible handwashing facilities
13           24                               Unclean or degraded floors walls or ceilings
14           24                               Unclean or degraded floors walls or ceilings
15           31                           Improper storage of equipment utensils or linens
16           31                             Permit license or inspection report not posted
17           31                                                      Improper food storage
18           31                 Improper storage use or identification of toxic substances
19           31                         Inadequate and inaccessible handwashing facilities
20           31  Inadequate food safety knowledge or lack of certified food safety manager
21           31                 Food safety certificate or food handler card not available
22           45                           Improper storage of equipment utensils or linens
23           45         Wiping cloths not clean or properly stored or inadequate sanitizer
24           45                               Unclean or degraded floors walls or ceilings
25           45                               Unclean or degraded floors walls or ceilings
26           45                           Unapproved or unmaintained equipment or utensils
27           45                                           Unclean nonfood contact surfaces
28           45                    Inadequately cleaned or sanitized food contact surfaces
29           45                         Inadequate and inaccessible handwashing facilities
30           45                                                 Employee eating or smoking
31           45  Inadequate food safety knowledge or lack of certified food safety manager
32           45                 Food safety certificate or food handler card not available
33           45                                     Moderate risk food holding temperature
34           45                           Unapproved or unmaintained equipment or utensils
35           45                                     Foods not protected from contamination
36           45                               Unclean or degraded floors walls or ceilings
37           45                                           Moderate risk vermin infestation
38           45  Inadequate food safety knowledge or lack of certified food safety manager
39           48         Wiping cloths not clean or properly stored or inadequate sanitizer
40           48                 Improper storage use or identification of toxic substances
41           48  Inadequate food safety knowledge or lack of certified food safety manager
42           48                                           Unclean nonfood contact surfaces
43           48                                           Unclean nonfood contact surfaces
44           48                                     Foods not protected from contamination
45           48                                                Low risk vermin infestation
46           54                                     Moderate risk food holding temperature
47           54                                   Inadequate sewage or wastewater disposal
48           54                                     Moderate risk food holding temperature
49           56                               Unclean or degraded floors walls or ceilings
50           56                  Inadequate and inaccessible handwashing facilities
51           56                    Unapproved or unmaintained equipment or utensils
52           56  Wiping cloths not clean or properly stored or inadequate sanitizer
53           56                      Permit license or inspection report not posted
54           56                              Foods not protected from contamination
55           56             Inadequately cleaned or sanitized food contact surfaces
56           56                              Moderate risk food holding temperature
57           56                    Unapproved or unmaintained equipment or utensils
58           56                    Improper storage of equipment utensils or linens
59           56                        Unclean or degraded floors walls or ceilings
60           58                         Unclean or unsanitary food contact surfaces
61           58                                        High risk vermin infestation
62           58                  Inadequate and inaccessible handwashing facilities
63           58                              Moderate risk food holding temperature
64           58                        No thermometers or uncalibrated thermometers
65           58                                  Inadequate ventilation or lighting
66           58                         Unclean or unsanitary food contact surfaces
67           58                                            Improper cooling methods
68           58                                  High risk food holding temperature
69           58                                         Low risk vermin infestation
70           61                                    Unclean nonfood contact surfaces
71           61                              Foods not protected from contamination
72           61  Wiping cloths not clean or properly stored or inadequate sanitizer
73           61                              Foods not protected from contamination
74           61                              Moderate risk food holding temperature
75           61                                    Unclean nonfood contact surfaces
76           61                    Unapproved or unmaintained equipment or utensils
77           61  Wiping cloths not clean or properly stored or inadequate sanitizer
78           61                                    Unclean nonfood contact surfaces
79           61                                               Improper food storage
80           61                                      Improper or defective plumbing
81           66                      Inadequate warewashing facilities or equipment
82           66  Wiping cloths not clean or properly stored or inadequate sanitizer
83           66  Wiping cloths not clean or properly stored or inadequate sanitizer
84           66                                       No hot water or running water
85           66                                   No plan review or Building Permit
86           73                        Unclean or degraded floors walls or ceilings
87           73  Wiping cloths not clean or properly stored or inadequate sanitizer
88           73                                    Moderate risk vermin infestation
89           73          Improper storage use or identification of toxic substances
90           73                                  High risk food holding temperature
91           73                    Improper storage of equipment utensils or linens
92           73                                         Low risk vermin infestation
93           73                                               Improper food storage
94           73             Inadequately cleaned or sanitized food contact surfaces
95           73                    Improper storage of equipment utensils or linens
96           73                                      Improper or defective plumbing
97           73                              Foods not protected from contamination
98           73                                    Unclean nonfood contact surfaces
99           73                                               Improper food storage
100           76                           Improper storage of equipment utensils or linens
101           76                             Permit license or inspection report not posted
102           76                           Improper storage of equipment utensils or linens
103           77                             Permit license or inspection report not posted
104           77                                     Moderate risk food holding temperature
105           77         Wiping cloths not clean or properly stored or inadequate sanitizer
106           77                           Unapproved or unmaintained equipment or utensils
107           77                           Unapproved or unmaintained equipment or utensils
108           77                                         High risk food holding temperature
109           80                                                      Improper food storage
110           80                                         High risk food holding temperature
111           80                                                  Other high risk violation
112           88                                           Contaminated or adulterated food
113           88                                         High risk food holding temperature
114           88                                           Moderate risk vermin infestation
115           88  Inadequate food safety knowledge or lack of certified food safety manager
116           88                               Unclean or degraded floors walls or ceilings
117           88         Wiping cloths not clean or properly stored or inadequate sanitizer
118           88                               Unclean or degraded floors walls or ceilings
119           88                             Permit license or inspection report not posted
120           88                                         High risk food holding temperature
121           88  Inadequate food safety knowledge or lack of certified food safety manager
122           88                                           Unclean nonfood contact surfaces
123           88                                           Contaminated or adulterated food
124           88                                         High risk food holding temperature
125           88                               Unclean or degraded floors walls or ceilings
126           88                                                   Improper cooling methods
127           88                                Unclean or unsanitary food contact surfaces
128           95                    Inadequately cleaned or sanitized food contact surfaces
129           95                                           Moderate risk vermin infestation
130           95                                           Unclean nonfood contact surfaces
131           95                           Unapproved or unmaintained equipment or utensils
132           95                               Unclean or degraded floors walls or ceilings
133           95                 Food safety certificate or food handler card not available
134           95                               Unclean or degraded floors walls or ceilings
135           95                                           Unclean nonfood contact surfaces
136           95                                                      Improper food storage
137           95                                               High risk vermin infestation
138           95                    Inadequately cleaned or sanitized food contact surfaces
139           95                                           Moderate risk vermin infestation
140           95                                           Unclean nonfood contact surfaces
141           95                               Unclean or degraded floors walls or ceilings
142           95  Inadequate food safety knowledge or lack of certified food safety manager
143           95                           Unapproved or unmaintained equipment or utensils
144           95                             Permit license or inspection report not posted
145           95                                    Insufficient hot water or running water
146           95                                           Unclean nonfood contact surfaces
147           98                               Unclean or degraded floors walls or ceilings
148           98                                           Moderate risk vermin infestation
149           98  Inadequate food safety knowledge or lack of certified food safety manager
150           98                         Inadequate and inaccessible handwashing facilities
151           99         Wiping cloths not clean or properly stored or inadequate sanitizer
152           99                                         Inadequate ventilation or lighting
153           99                           Improper storage of equipment utensils or linens
154           99                                                      Improper food storage
155           99                                     Foods not protected from contamination
156           99                    Inadequately cleaned or sanitized food contact surfaces
157           99                                           Moderate risk vermin infestation
158           99                                                   Improper thawing methods
159          101  Inadequate food safety knowledge or lack of certified food safety manager
160          101                               Unclean or degraded floors walls or ceilings
161          102                                Unclean or unsanitary food contact surfaces
162          102                                         Inadequate ventilation or lighting
163          108                           Unapproved or unmaintained equipment or utensils
164          108                                     Foods not protected from contamination
165          108                         Inadequate and inaccessible handwashing facilities
166          108                             Permit license or inspection report not posted
167          108                               Unapproved  living quarters in food facility
168          108         Wiping cloths not clean or properly stored or inadequate sanitizer
169          108                                         Inadequate ventilation or lighting
170          108                                           Moderate risk vermin infestation
171          108                                     Foods not protected from contamination
172          116                                     Moderate risk food holding temperature
173          116                             Permit license or inspection report not posted
174          116                 Food safety certificate or food handler card not available
175          116                                                   Improper cooling methods
176          116                                             Improper or defective plumbing
177          116                                Unclean or unsanitary food contact surfaces
178          116                                                 Employee eating or smoking
179          121                                                Low risk vermin infestation
180          121         Wiping cloths not clean or properly stored or inadequate sanitizer
181          121                                     Foods not protected from contamination
182          121                                             Improper or defective plumbing
183          121                                           Moderate risk vermin infestation
184          121                 Improper storage use or identification of toxic substances
185          121                    Inadequately cleaned or sanitized food contact surfaces
186          121                         Inadequate and inaccessible handwashing facilities
187          121                    Inadequately cleaned or sanitized food contact surfaces
188          121                                                      Improper food storage
189          121                                         High risk food holding temperature
190          126                                         High risk food holding temperature
191          126                               Unclean or degraded floors walls or ceilings
192          126   Inadequate or unsanitary refuse containers or area or no garbage service
193          126         Wiping cloths not clean or properly stored or inadequate sanitizer
194          126                                     Foods not protected from contamination
195          126                    Inadequately cleaned or sanitized food contact surfaces
196          126                                           Moderate risk vermin infestation
197          126                                           Moderate risk vermin infestation
198          126                                     Foods not protected from contamination
199          126                               Unclean or degraded floors walls or ceilings
