orderID,comments
10101,Check on availability.
10107,Difficult to negotiate with customer. We need more marketing materials
10109,Customer requested that FedEx Ground is used for this shipping
10112,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment"
10118,Customer has worked with some of our vendors in the past and is aware of their MSRP
10124,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch
10127,Customer requested special shippment. The instructions were passed along to the warehouse
10136,Customer is interested in buying more Ferrari models
10143,Can we deliver the new Ford Mustang models by end-of-quarter?
10148,They want to reevaluate their terms agreement with Finance.
10150,They want to reevaluate their terms agreement with Finance.
10164,"This order was disputed, but resolved on 11/1/2003; Customer doesn't like the colors and precision of the models."
10165,This order was on hold because customers's credit limit had been exceeded. Order will ship when payment is received
10167,Customer called to cancel. The warehouse was notified in time and the order didn't ship. They have a new VP of Sales and are shifting their sales model. Our VP of Sales should contact them.
10173,"Cautious optimism. We have happy customers here, if we can keep them well stocked. I need all the information I can get on the planned shippments of Porches"
10178,Custom shipping instructions sent to warehouse
10179,Customer cancelled due to urgent budgeting issues. Must be cautious when dealing with them in the future. Since order shipped already we must discuss who would cover the shipping charges.
10183,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.
10186,They want to reevaluate their terms agreement with the VP of Sales
10189,They want to reevaluate their terms agreement with Finance.
10191,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.
10197,Customer inquired about remote controlled models and gold models.
10205,I need all the information I can get on our competitors.
10206,Can we renegotiate this one?
10207,Check on availability.
10213,Difficult to negotiate with customer. We need more marketing materials
10215,Customer requested that FedEx Ground is used for this shipping
10218,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment"
10224,Customer has worked with some of our vendors in the past and is aware of their MSRP
10230,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch
10233,Customer requested special shippment. The instructions were passed along to the warehouse
10242,Customer is interested in buying more Ferrari models
10248,Order was mistakenly placed. The warehouse noticed the lack of documentation.
10249,Can we deliver the new Ford Mustang models by end-of-quarter?
10253,"Customer disputed the order and we agreed to cancel it. We must be more cautions with this customer going forward, since they are very hard to please. We must cover the shipping fees."
10254,Customer requested that DHL is used for this shipping
10260,Customer heard complaints from their customers and called to cancel this order. Will notify the Sales Manager.
10262,This customer found a better offer from one of our competitors. Will call back to renegotiate.
10264,Customer will send a truck to our local warehouse on 7/1/2004
10270,Can we renegotiate this one?
10279,"Cautious optimism. We have happy customers here, if we can keep them well stocked. I need all the information I can get on the planned shippments of Porches"
10284,Custom shipping instructions sent to warehouse
10289,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.
10292,They want to reevaluate their terms agreement with Finance.
10295,They want to reevaluate their terms agreement with Finance.
10297,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.
10303,Customer inquired about remote controlled models and gold models.
10305,Check on availability.
10308,Customer requested that FedEx Ground is used for this shipping
10311,Difficult to negotiate with customer. We need more marketing materials
10313,Customer requested that FedEx Ground is used for this shipping
10316,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment"
10319,Customer requested that DHL is used for this shipping
10322,Customer has worked with some of our vendors in the past and is aware of their MSRP
10327,Order was disputed and resolved on 12/1/04. The Sales Manager was involved. Customer claims the scales of the models don't match what was discussed.
10328,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch
10331,Customer requested special shippment. The instructions were passed along to the warehouse
10334,The outstaniding balance for this customer exceeds their credit limit. Order will be shipped when a payment is received.
10336,Customer requested that DHL is used for this shipping
10340,Customer is interested in buying more Ferrari models
