business_id,description
10,Insufficient hot water or running water
10,Unapproved or unmaintained equipment or utensils
10,Inadequate and inaccessible handwashing facilities
10,Improper storage of equipment utensils or linens
10,Unclean or degraded floors walls or ceilings
10,High risk vermin infestation
10,High risk food holding temperature
10,Unapproved or unmaintained equipment or utensils
10,High risk food holding temperature
10,No thermometers or uncalibrated thermometers
24,Improper storage of equipment utensils or linens
24,Permit license or inspection report not posted
24,Inadequate and inaccessible handwashing facilities
24,Unclean or degraded floors walls or ceilings
24,Unclean or degraded floors walls or ceilings
31,Improper storage of equipment utensils or linens
31,Permit license or inspection report not posted
31,Improper food storage
31,Improper storage use or identification of toxic substances
31,Inadequate and inaccessible handwashing facilities
31,Inadequate food safety knowledge or lack of certified food safety manager
31,Food safety certificate or food handler card not available
45,Improper storage of equipment utensils or linens
45,Wiping cloths not clean or properly stored or inadequate sanitizer
45,Unclean or degraded floors walls or ceilings
45,Unclean or degraded floors walls or ceilings
45,Unapproved or unmaintained equipment or utensils
45,Unclean nonfood contact surfaces
45,Inadequately cleaned or sanitized food contact surfaces
45,Inadequate and inaccessible handwashing facilities
45,Employee eating or smoking
45,Inadequate food safety knowledge or lack of certified food safety manager
45,Food safety certificate or food handler card not available
45,Moderate risk food holding temperature
45,Unapproved or unmaintained equipment or utensils
45,Foods not protected from contamination
45,Unclean or degraded floors walls or ceilings
45,Moderate risk vermin infestation
45,Inadequate food safety knowledge or lack of certified food safety manager
48,Wiping cloths not clean or properly stored or inadequate sanitizer
48,Improper storage use or identification of toxic substances
48,Inadequate food safety knowledge or lack of certified food safety manager
48,Unclean nonfood contact surfaces
48,Unclean nonfood contact surfaces
48,Foods not protected from contamination
48,Low risk vermin infestation
54,Moderate risk food holding temperature
54,Inadequate sewage or wastewater disposal
54,Moderate risk food holding temperature
56,Unclean or degraded floors walls or ceilings
56,Inadequate and inaccessible handwashing facilities
56,Unapproved or unmaintained equipment or utensils
56,Wiping cloths not clean or properly stored or inadequate sanitizer
56,Permit license or inspection report not posted
56,Foods not protected from contamination
56,Inadequately cleaned or sanitized food contact surfaces
56,Moderate risk food holding temperature
56,Unapproved or unmaintained equipment or utensils
56,Improper storage of equipment utensils or linens
56,Unclean or degraded floors walls or ceilings
58,Unclean or unsanitary food contact surfaces
